cust_code,cust_price_sensitivity,cust_lifestage
CUST0000410727,Up Market,Other
CUST0000634693,Less Affluent,Young Families
,,
CUST0000353957,Less Affluent,Pensioners
CUST0000089820,Less Affluent,Other
CUST0000715467,Mid Market,Other
CUST0000005053,Mid Market,
CUST0000215521,Mid Market,Pensioners
CUST0000143602,Less Affluent,Other
CUST0000649759,Mid Market,Other
CUST0000577810,Less Affluent,Pensioners
CUST0000626899,Less Affluent,Other
CUST0000683624,Up Market,Other
CUST0000753818,Mid Market,Other
CUST0000880906,Mid Market,Other
CUST0000723002,Up Market,Young Families
CUST0000079790,Mid Market,Other
CUST0000059001,Mid Market,Young Families
CUST0000194233,Up Market,
CUST0000267507,Mid Market,Older Adults
CUST0000557389,Mid Market,Young Adults
CUST0000410932,Mid Market,Other
CUST0000967987,Mid Market,Other
CUST0000124431,Mid Market,
CUST0000746234,Mid Market,Young Adults
CUST0000697836,Mid Market,Young Families
CUST0000904125,Mid Market,Young Families
CUST0000115970,Mid Market,Young Adults
CUST0000125124,Up Market,Young Families
CUST0000287482,Up Market,Young Adults
CUST0000474466,Mid Market,Young Adults
CUST0000643107,Less Affluent,Young Families
CUST0000484388,Mid Market,Older Adults
CUST0000811618,Mid Market,Other
CUST0000856398,Up Market,Young Adults
CUST0000958935,Mid Market,Older Adults
CUST0000612210,Up Market,Pensioners
CUST0000121259,Up Market,Pensioners
CUST0000141657,Less Affluent,Older Adults
CUST0000816240,Up Market,Young Families
CUST0000877775,Up Market,Other
CUST0000414452,Mid Market,Young Adults
CUST0000994092,Mid Market,Young Adults
CUST0000618910,Mid Market,Other
CUST0000808290,Mid Market,Pensioners
CUST0000816474,Less Affluent,Young Adults
CUST0000175215,Mid Market,Young Families
CUST0000070986,Mid Market,Pensioners
CUST0000794797,Less Affluent,Other
CUST0000091271,Less Affluent,
CUST0000708813,Less Affluent,Other
CUST0000463469,Less Affluent,Other
CUST0000978795,Mid Market,
CUST0000266020,Less Affluent,Older Families
CUST0000923551,Less Affluent,Young Adults
CUST0000251863,Up Market,Older Families
